date,hour,level_,flow_m3s
08.02.2026 , 18 , 76 , 7.201
08.02.2026 , 17 , 76 , 7.201
08.02.2026 , 16 , 76 , 7.201
08.02.2026 , 15 , 76 , 7.201
08.02.2026 , 14 , 76 , 7.201
08.02.2026 , 13 , 76 , 7.201
08.02.2026 , 12 , 76 , 7.201
08.02.2026 , 11 , 76 , 7.201
08.02.2026 , 10 , 77 , 7.344
08.02.2026 , 9 , 76 , 7.201
08.02.2026 , 8 , 77 , 7.344
08.02.2026 , 7 , 76 , 7.201
08.02.2026 , 6 , 75 , 7.061
08.02.2026 , 5 , 76 , 7.201
08.02.2026 , 4 , 75 , 7.061
08.02.2026 , 3 , 75 , 7.061
08.02.2026 , 2 , 75 , 7.061
08.02.2026 , 1 , 74 , 6.921
08.02.2026 , 0 , 76 , 7.201
07.02.2026 , 23 , 75 , 7.061
07.02.2026 , 22 , 75 , 7.061
07.02.2026 , 21 , 75 , 7.061
07.02.2026 , 20 , 76 , 7.201
07.02.2026 , 19 , 77 , 7.344
07.02.2026 , 18 , 75 , 7.061
07.02.2026 , 17 , 75 , 7.061
07.02.2026 , 16 , 76 , 7.201
07.02.2026 , 15 , 76 , 7.201
07.02.2026 , 14 , 75 , 7.061
07.02.2026 , 13 , 75 , 7.061
07.02.2026 , 12 , 75 , 7.061
07.02.2026 , 11 , 75 , 7.061
07.02.2026 , 10 , 74 , 6.921
07.02.2026 , 9 , 75 , 7.061
07.02.2026 , 8 , 76 , 7.201
07.02.2026 , 7 , 72 , 6.648
07.02.2026 , 6 , 76 , 7.201
07.02.2026 , 5 , 76 , 7.201
07.02.2026 , 4 , 75 , 7.061
07.02.2026 , 3 , 75 , 7.061
07.02.2026 , 2 , 75 , 7.061
07.02.2026 , 1 , 75 , 7.061
07.02.2026 , 0 , 75 , 7.061
06.02.2026 , 23 , 75 , 7.061
06.02.2026 , 22 , 75 , 7.061
06.02.2026 , 21 , 75 , 7.061
06.02.2026 , 20 , 75 , 7.061
06.02.2026 , 19 , 76 , 7.201
06.02.2026 , 18 , 77 , 7.344
06.02.2026 , 17 , 76 , 7.201
06.02.2026 , 16 , 75 , 7.061
06.02.2026 , 15 , 76 , 7.201
